City,lat,lon
London,51.509865,-0.118092
New York,40.73061,-73.935242
Hong Kong,22.302711,114.177216
Singapore,1.29027,103.851959
Shanghai,31.224361,121.46917
Paris,48.864716,2.349014
Beijing,39.916668,116.383331
Tokyo,35.652832,139.839478
Chicago,41.881832,-87.623177
Dubai,25.276987,55.296249
Sydney,-33.865143,151.2099
Frankfurt,50.110924,8.682127
Sao Paulo,-23.533773, -46.625290
Washington,38.889248,-77.050636
Los Angeles,34.05223,-118.243683
Milan,45.464664,9.18854
Madrid,40.416775,-3.70379
Mumbai,19.07609,72.877426
Toronto,43.65107,-79.347015
Moscow,55.751244,37.618423
