,City,Country,Wells Fargo,ICBC,China Construction Bank,Agricultural Bank of China,Chase,Bank of China,Bank of America,Citi,HSBC,Barclays,Santander,BNP Paribas,China Merchants Bank,J.P. Morgan,MUFG,Capital One,Bank of Communications,Royal Bank of Canada,TD Bank Group,UBS,Deutsche Bank,China Minsheng Bank,BBVA,Goldman Sachs,Lloyds Bank,Morgan Stanley,ING,ANZ,Rabobank,Scotiabank,Credit Suisse,Société Générale,Commonwealth Bank of Australia,China CITIC Bank,Sberbank,Industrial Bank Co. ,Shanghai Pudong Development Bank,U.S. Bancorp,SMFG,Bank of Montreal,Westpac,Mizuho Financial Group,State Bank of India,Shinhan Financial Group,Nordea,nab,PNC,DBS,Ping An Bank,Halifax,Standard Chartered,CIBC,China Everbright Bank,Merrill Lynch,BNY Mellon,NatWest,KBC,Crédit Agricole ,UniCredit,Nomura,Itaú,KB Financial Group,Banco do Brasil,RBS,ABN Amro,DNB,OCBC Bank,Crédit Mutuel,Svenska Handelsbanken,Caixa,Bradesco,Nationwide Building Society,BB&T,Macquarie,Danske Bank,McKinsey & Company,Bain & Company,"The Boston Consulting Group, Inc. ",Oliver Wyman,The Brattle Group,Cornerstone Research,A.T. Kearney,The Bridgespan Group,ClearView Healthcare Partners,"Analysis Group, Inc. ",L.E.K. Consulting,"Strategy&, part of the PwC network",Parthenon-EY,The Cambridge Group,Insight Sourcing Group,Point B,Eagle Hill Consulting,Accenture,Kurt Salmon,ScottMadden Management consultants,Alvarez & Marsal,ZS Associates,The Chartis Group,Roland Berger Strategy Consultants,Edgeworth Economics,DLA Piper,Latham & Watkins,Baker & McKenzie,"Skadden, Arps, Slate, Meagher & Flom",Kirkland & Ellis,Dentons,Clifford Chance,Allen & Overy,Jones Day,Linklaters,Freshfields Bruckhaus Deringer,Sidley Austin,Morgan Lewis & Bockius,Norton Rose Fulbright,Hogan Lovells,Gibson Dunn,White & Case,Ropes & Gray,Greenberg Traurig,Sullivan & Cromwell,Simpson Thacher & Bartlett,Mayer Brown,Herbert Smith Freehills,Cleary Gottlieb,Weil Gotshal,Young & Rubicam Group,McCann Worldgroup,Dentsu,DDB Worldwide Communications Group,BBDO Worldwide,Ogilvy & Mather ,TBWA Worldwide,Publicis Worldwide,Dentsu Aegis Network,J. Walter Thompson Co.,Epsilon,Leo Burnett Worldwide,Havas Worldwide,FCB,IBM Interactive Experience,Hakuhodo,Experian Marketing Services,DigitasLBI,Saatchi & Saatchi,SapientNitro,Grey Group,Acxiom Corp.,Edelman,Cheil Worldwide,Publicis Healthcare Communications Group,PwC,Deloitte,Ernst & Young,KPMG,BDO,RSM,Grant Thornton International,Baker Tilly International,Crowe Horwath International,Nexia International,Moore Stephens International,Kreston International,HLB International,Mazars,PKF International,Praxity,LEA GLOBAL,GGI Geneva Group International,PrimeGlobal,Allinial Global (formerly ARAF),BKR International,DFK International,AGN International,IAPA,Morison International
1,Aba,Nigeria,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aberdeen,United Kingdom,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
3,Abidjan,Cote d'ivoire,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
4,Abu Dhabi,UAE,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,0,2,0,0
5,Abuja,Nigeria,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,3,2,0,3,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0
6,Acapulco,Mexico,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Accra,Ghana,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,3,0,2,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,2,0,0,2
8,Adana,Turkey,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
9,Addis Ababa,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Adelaide,Australia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,0,2,0
